origen	decision	destino	descripcion	fuente_declarada
image100.png	descartar		Tarjeta con cita de Frank Herbert (Dune), solo decorativa
image101.jpg	descartar		Captura de miniatura del documental "The Big Reset" (DW)
image102.jpg	descartar		Captura de miniatura del documental "The Big Reset" (DW)
image103.png	descartar		Fotograma promocional de la serie Foundation (Hari Seldon), material con derechos
image104.jpg	descartar		Gráfico decorativo de banner sobre Renta Básica Universal
image13.png	descartar		Fotografía de una flor, decoración sin relación con el contenido
image23.png	descartar		Foto del billete de £50 con Alan Turing, existen fotos con licencia clara en Commons
image24.png	descartar		Retrato fotográfico de Alan Turing, disponible en Commons
image26.png	descartar		Retrato fotográfico de John von Neumann, disponible en Commons
image27.png	descartar		Tarjeta con cita de John von Neumann, solo decorativa
image28.png	descartar		Ilustración antigua de Medea y Talos, existen versiones equivalentes en Commons
image29.png	descartar		Letra "A" estilizada de plantilla, decoración
image30.png	descartar		Fotografía histórica relacionada con el Golem, disponible en Commons
image31.png	descartar		Ilustración de la diosa Nuwa, decorativa/narrativa sin datos propios
image32.png	descartar		Fotografía de la máquina de Babbage en museo, disponible en Commons
image33.png	descartar		Retrato pop-art estilizado de Charles Babbage, decorativo y redundante
image34.jpg	descartar		Cómic-línea de tiempo de IA, resolución muy baja (320x180, fotograma de video)
image35.png	descartar		Ilustración estilizada de Ada Lovelace, decorativa y redundante
image36.jpg	descartar		Collage de mapa de Tokio y puntos satelitales, decorativo, sin etiquetas de datos
image37.png	descartar		Ilustración abstracta de flor rosa, decoración
image40.jpg	descartar		Tarjeta de título "INTELLIGENCE" con cerebro, plantilla decorativa
image41.png	descartar		Personaje Astroboy, imagen con derechos de autor, decorativa
image42.png	descartar		Forma abstracta rosa tipo ameba, decoración
image43.png	descartar		Robot mecha de ciencia ficción, imagen con derechos, decorativa
image44.png	descartar		Viñeta cómica sobre robots y aprendizaje automático, meme
image45.png	descartar		Retrato pintado de David Hume, disponible en Commons
image46.png	conservar	legacy-conceptos-ia.png	Diagrama de conceptos de IA del deck	deck original
image47.png	descartar		Viñeta cómica sobre argumentos circulares, meme
image48.png	conservar	legacy-escalera-causalidad.png	Diagrama ilustrado de la escalera de causalidad de Judea Pearl	deck original
image49.png	descartar		Fotografía de personas con paraguas bajo la lluvia, foto genérica decorativa
image50.png	conservar	legacy-diagrama-perceptron.png	Diagrama etiquetado en español del perceptrón (señales, pesos, función de activación)	deck original
image51.png	descartar		Retrato fotográfico de un pionero histórico de IA, disponible en Commons
image52.png	conservar	legacy-eliza-conversacion.png	Captura de una conversación real con el chatbot ELIZA	deck original
image53.png	conservar	legacy-tasa-error-imagenet.png	Gráfica de la tasa de error de ImageNet 2010-2015 (Fig. 1.12, libro Deep Learning)	deck original
image54.png	descartar		Portada del libro "The Book of Why" de Judea Pearl, decorativa/promocional
image55.png	descartar		Fotograma de la película Frankenstein (1931), material con derechos
image56.png	descartar		Gráfica de costo de GFLOPS "según Wikipedia", ya disponible en Commons
image57.png	conservar	legacy-precio-flops-gpu.png	Gráfica de evolución del precio por FLOPS de GPUs 2008-2020	deck original
image58.png	descartar		Retrato fotográfico de un investigador histórico, disponible en Commons
image59.png	descartar		Fotografía compuesta de los "padrinos" del deep learning (Hinton, LeCun, Bengio), disponible en Commons
image60.png	conservar	legacy-tendencias-computo.png	Gráfica de tendencias de cómputo (Moore, Huang, bio-anchors) con múltiples pendientes	deck original
